Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,12,C,5,114,373.30102,,,373.30102,0.837811631,0.966705728,0.04648802,0.009608573
1,12,C,5,115,834.79798,660.6055,213.852375,1709.255855,4.413826329,5.092876534,0.340508453,0.04694125
1,12,C,5,116,,,,,,,,
1,12,C,5,117,,,,,,,,
1,12,C,5,118,498.82392,,,498.82392,1.149850456,1.326750526,0.067936534,0.012998996
1,12,C,5,119,656.057455,656.057455,93.325255,1405.440165,3.56438012,4.112746292,0.263564439,0.038277112
1,12,C,5,120,2140.36182,460.02022,151.766455,2752.148495,7.425966079,8.568422399,0.635144483,0.077131518
1,12,C,5,121,951.27192,452.448,,1403.71992,3.559615375,4.10724851,0.2631423,0.038228267
1,12,C,5,122,804.352,692.881695,211.26808,1708.501775,4.411699567,5.090422577,0.340311853,0.046919659
1,12,C,5,123,,,,,,,,
1,12,C,5,124,2059.14112,1562.48518,774.47158,4396.09788,12.38515699,14.29056575,1.172401993,0.12568748
1,12,C,5,125,,,,,,,,
1,12,C,5,126,1313.992255,,,1313.992255,3.311848138,3.821363236,0.241348308,0.035684109
1,12,C,5,127,642.50758,,,642.50758,1.516030655,1.749266141,0.094619589,0.016924812
1,12,C,5,128,2290.518,422.78752,,2713.30552,7.311569805,8.436426698,0.623437745,0.075996876
1,12,C,5,129,711.670855,,,711.670855,1.695128686,1.955917715,0.108166552,0.018828524
1,12,C,5,130,,,,,,,,
1,12,C,5,131,,,,,,,,
1,12,C,5,132,2552.0895,,,2552.0895,6.838408733,7.890471615,0.575407278,0.071295097
1,12,C,5,133,539.19862,213.852375,,753.050995,1.803063191,2.080457528,0.116470986,0.019971335
1,12,C,5,134,,,,,,,,
1,12,C,5,135,,,,,,,,
1,12,C,5,136,,,,,,,,
1,12,C,5,137,,,,,,,,
1,12,C,5,138,1134.262,,,1134.262,2.820338973,3.254237277,0.199085152,0.030610764
1,12,C,5,139,514.78528,201.088,111.234655,827.107935,1.997582724,2.304903143,0.131684721,0.022023195
1,12,C,5,142,502.790695,167.43718,,670.227875,1.587608999,1.831856537,0.099997694,0.017686812
1,12,C,5,143,876.27238,721.159695,,1597.432075,4.099409451,4.730087828,0.311651508,0.04374397
1,12,C,5,144,940.36918,,,940.36918,2.298157826,2.651720568,0.155769679,0.025176241
1,12,C,5,145,1995.29568,1534.58422,642.50758,4172.38748,11.69842645,13.49818437,1.094937687,0.119026322
1,12,C,5,146,1562.48518,124.70598,,1687.19116,4.351632296,5.021114187,0.334766984,0.046309649
1,12,C,5,147,1128.300055,419.150655,153.958,1701.40871,4.391698951,5.067344943,0.338463904,0.046716586
1,12,C,5,148,2265.138495,,,2265.138495,6.003131407,6.926690085,0.492241265,0.062958126
1,12,C,5,149,1971.612855,349.712455,311.065855,2632.391165,7.073756174,8.162026354,0.599217697,0.073635518
1,12,C,5,150,2376.1375,1555.486375,850.233055,4781.85693,13.57684109,15.66558588,1.308838306,0.137207354
1,12,C,5,151,1445.642055,311.065855,143.157375,1899.865285,4.954095821,5.716264409,0.3910411,0.052411476
1,12,C,5,152,,,,,,,,
1,12,C,5,153,,,,,,,,
1,12,C,5,154,1398.84982,452.448,,1851.29782,4.815938762,5.556852418,0.378009717,0.051015339
1,12,C,5,155,2282.042455,,,2282.042455,6.052078033,6.983166961,0.49705458,0.063448054
1,12,C,5,156,,,,,,,,
1,12,C,5,157,1035.045495,387.12582,,1422.171315,3.610750114,4.166250131,0.267678483,0.038752316
1,12,C,5,158,2725.064455,376.733655,286.558255,3388.356365,9.319603285,10.75338841,0.8338342,0.095806861
